City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ust-Ilimsk,RU,2020-01-04 20:06:18,57.96,102.73,17.47,93,97,8.63
1,Cockburn Town,TC,2020-01-04 20:05:35,21.46,-71.14,80.6,69,40,11.41
2,Albany,US,2020-01-04 20:05:03,42.65,-73.75,42.8,86,90,6.93
3,Ushuaia,AR,2020-01-04 20:03:55,-54.81,-68.31,57.2,41,40,5.82
4,Gasa,BT,2020-01-04 20:06:19,27.91,89.73,2.66,98,98,7.29
5,Barrow,AR,2020-01-04 20:06:19,-38.31,-60.23,77.27,55,75,18.05
6,Hilo,US,2020-01-04 20:05:13,19.71,-155.08,75.2,73,40,3.36
7,Cayenne,GF,2020-01-04 20:06:20,4.94,-52.33,84.2,70,75,9.17
8,Yima,CN,2020-01-04 20:06:20,34.75,111.87,37.58,95,100,14.36
9,Broome,GB,2020-01-04 20:06:20,52.47,1.45,46.0,87,40,6.93
10,Half Moon Bay,US,2020-01-04 20:06:20,37.46,-122.43,61.0,87,75,8.05
11,Tasiilaq,GL,2020-01-04 20:06:20,65.61,-37.64,26.6,86,100,11.41
12,Bethel,US,2020-01-04 20:05:20,60.79,-161.76,-9.4,75,1,5.82
13,Saskylakh,RU,2020-01-04 20:06:21,71.97,114.09,-21.41,95,62,6.04
14,Puerto Ayora,EC,2020-01-04 20:06:21,-0.74,-90.35,86.0,58,20,13.87
15,Dikson,RU,2020-01-04 20:06:21,73.51,80.55,0.25,82,100,22.15
16,Kingman,US,2020-01-04 20:06:21,35.19,-114.05,63.0,41,75,4.7
17,Kapaa,US,2020-01-04 20:06:22,22.08,-159.32,75.2,88,90,19.46
18,Ihlow,DE,2020-01-04 20:06:22,52.62,14.07,39.0,76,20,14.99
19,Hof,DE,2020-01-04 20:06:22,50.32,11.92,39.99,100,75,12.75
20,Ishinomaki,JP,2020-01-04 20:06:22,38.42,141.3,31.8,74,6,11.14
21,Hobart,AU,2020-01-04 20:06:22,-42.88,147.33,54.0,53,75,6.62
22,Zapolyarnyy,RU,2020-01-04 20:06:23,69.43,30.82,19.4,79,100,32.21
23,Ormara,PK,2020-01-04 20:06:23,25.21,64.64,73.24,72,0,8.9
