City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Busselton,AU,2020-01-05 09:02:19,-33.64,115.35,87.01,11,0,9.66,clear sky,0.0,0.0
1,Rikitea,PF,2020-01-05 09:02:20,-23.12,-134.97,75.65,74,55,17.2,broken clouds,0.0,0.0
2,Albany,US,2020-01-05 09:02:20,42.65,-73.75,35.6,59,90,19.46,overcast clouds,0.0,0.0
3,Guerrero Negro,MX,2020-01-05 09:02:20,27.97,-114.04,58.55,59,0,3.76,clear sky,0.0,0.0
4,Hobart,AU,2020-01-05 08:58:45,-42.88,147.33,64.4,45,20,9.17,few clouds,0.0,0.0
5,Mehamn,NO,2020-01-05 09:02:21,71.03,27.85,24.42,88,100,22.24,light snow,0.0,1.06
6,Khatanga,RU,2020-01-05 09:02:21,71.98,102.47,-20.36,88,0,9.13,clear sky,0.0,0.0
7,Ushuaia,AR,2020-01-05 08:58:39,-54.81,-68.31,50.0,66,40,10.29,scattered clouds,0.0,0.0
8,Norman Wells,CA,2020-01-05 09:02:21,65.28,-126.83,-20.2,75,75,6.93,light snow,0.0,0.0
9,Cockburn Town,TC,2020-01-05 09:02:21,21.46,-71.14,76.89,67,35,5.35,scattered clouds,0.0,0.0
10,Clyde River,CA,2020-01-05 09:02:22,70.47,-68.59,-29.2,60,90,6.93,overcast clouds,0.0,0.0
11,East London,ZA,2020-01-05 09:02:22,-33.02,27.91,73.4,94,90,17.22,overcast clouds,0.0,0.0
12,Chokurdakh,RU,2020-01-05 09:02:22,70.62,147.9,-16.71,95,0,8.93,clear sky,0.0,0.0
13,Arraial Do Cabo,BR,2020-01-05 09:02:23,-22.97,-42.02,73.4,100,75,3.36,broken clouds,0.0,0.0
14,Nuuk,GL,2020-01-05 09:02:23,64.17,-51.74,19.4,85,100,3.36,light snow,0.0,0.0
15,Mataura,NZ,2020-01-05 09:02:23,-46.19,168.86,52.0,71,28,11.99,scattered clouds,0.0,0.0
16,Faanui,PF,2020-01-05 09:02:23,-16.48,-151.75,81.39,78,87,11.79,light rain,0.44,0.0
17,Zhireken,RU,2020-01-05 09:02:23,52.82,117.29,0.9,96,14,0.04,few clouds,0.0,0.0
18,Severo-Kurilsk,RU,2020-01-05 09:02:24,50.68,156.12,18.23,88,100,8.72,light snow,0.0,0.88
19,Mackay,CA,2020-01-05 09:02:24,53.65,-115.58,19.4,73,1,8.05,clear sky,0.0,0.0
20,Hay River,CA,2020-01-05 09:02:24,60.82,-115.79,-5.8,76,20,13.87,few clouds,0.0,0.0
21,Hilo,US,2020-01-05 09:01:24,19.71,-155.08,73.4,78,1,6.93,light rain,0.0,0.0
22,Aksarka,RU,2020-01-05 09:02:24,66.56,67.8,21.58,79,0,22.44,clear sky,0.0,0.0
23,Sao Filipe,CV,2020-01-05 09:02:25,14.9,-24.5,70.86,67,33,18.52,scattered clouds,0.0,0.0
24,Bluff,AU,2020-01-05 09:02:25,-23.58,149.07,83.59,50,55,14.16,broken clouds,0.0,0.0
25,Lamu,CN,2020-01-05 09:02:25,35.77,102.37,24.26,37,100,6.64,overcast clouds,0.0,0.0
26,Stadthagen,DE,2020-01-05 09:02:25,52.33,9.21,37.4,90,75,2.24,broken clouds,0.0,0.0
27,Quatre Cocos,MU,2020-01-05 09:02:25,-20.21,57.76,81.0,83,75,4.7,broken clouds,0.0,0.0
28,Puerto Ayora,EC,2020-01-05 09:02:26,-0.74,-90.35,75.0,83,53,4.0,broken clouds,0.0,0.0
29,Brae,GB,2020-01-05 09:02:26,60.4,-1.35,50.0,93,40,36.91,light rain,0.0,0.0
30,Sal Rei,CV,2020-01-05 09:02:26,16.18,-22.92,68.0,64,1,9.17,dust,0.0,0.0
31,Dikson,RU,2020-01-05 09:02:26,73.51,80.55,9.73,84,100,23.96,light snow,0.0,0.5
32,Terme,TR,2020-01-05 09:02:26,41.21,36.97,48.2,57,0,6.93,clear sky,0.0,0.0
33,Ostrovnoy,RU,2020-01-05 09:02:27,68.05,39.51,14.31,88,40,25.39,scattered clouds,0.0,0.0
34,Kruisfontein,ZA,2020-01-05 09:02:27,-34.0,24.73,74.75,52,23,19.91,few clouds,0.0,0.0
35,Tabas,IR,2020-01-05 09:02:27,33.6,56.92,57.2,62,4,2.24,light rain,0.5,0.0
36,Kapaa,US,2020-01-05 09:02:27,22.08,-159.32,75.2,88,90,19.46,overcast clouds,0.0,0.0
37,Koulikoro,ML,2020-01-05 09:02:28,12.86,-7.56,64.4,17,68,8.05,broken clouds,0.0,0.0
38,Barrow,AR,2020-01-05 09:02:28,-38.31,-60.23,62.24,95,95,5.46,light rain,0.81,0.0
39,Punta Arenas,CL,2020-01-05 09:02:28,-53.16,-70.91,48.2,81,90,6.93,light rain,0.0,0.0
40,Shingu,JP,2020-01-05 09:02:28,33.72,135.99,46.4,45,40,16.11,scattered clouds,0.0,0.0
41,Saskylakh,RU,2020-01-05 09:02:28,71.97,114.09,-19.35,92,60,8.88,broken clouds,0.0,0.0
42,Spruce Grove,CA,2020-01-05 08:59:49,53.55,-113.9,24.8,62,1,8.05,clear sky,0.0,0.0
43,Avarua,CK,2020-01-05 09:02:29,-21.21,-159.78,77.0,94,100,1.12,light rain,0.25,0.0
44,Champerico,MX,2020-01-05 09:02:29,16.38,-93.6,59.67,87,98,4.23,overcast clouds,0.0,0.0
45,Catumbela,AO,2020-01-05 09:02:29,-12.43,13.55,82.4,74,75,7.72,broken clouds,0.0,0.0
46,Upernavik,GL,2020-01-05 09:02:30,72.79,-56.15,-35.14,90,55,10.51,broken clouds,0.0,0.0
47,Vostok,RU,2020-01-05 09:02:30,46.45,135.83,-3.62,98,100,4.61,overcast clouds,0.0,0.0
48,Grand Gaube,MU,2020-01-05 09:02:31,-20.01,57.66,81.0,83,75,4.7,broken clouds,0.0,0.0
49,Santa Cruz,BR,2020-01-05 09:02:31,-6.22,-36.02,72.34,88,79,2.44,broken clouds,0.0,0.0
50,Cape Town,ZA,2020-01-05 08:59:50,-33.93,18.42,73.99,68,75,16.11,broken clouds,0.0,0.0
51,Katherine,AU,2020-01-05 09:02:31,-14.47,132.26,80.6,78,40,9.17,scattered clouds,0.0,0.0
52,Zaragoza,SV,2020-01-05 09:02:32,13.59,-89.29,78.8,57,0,4.7,clear sky,0.0,0.0
53,Nizhniy Kuranakh,RU,2020-01-05 09:02:32,58.84,125.49,12.09,95,100,5.44,light snow,0.0,0.56
54,Ponta Do Sol,BR,2020-01-05 09:02:32,-20.63,-46.0,65.75,95,33,1.39,scattered clouds,0.0,0.0
55,Mahebourg,MU,2020-01-05 09:02:32,-20.41,57.7,81.0,83,75,4.7,broken clouds,0.0,0.0
56,Norsup,VU,2020-01-05 09:02:32,-16.07,167.38,81.34,79,16,14.05,few clouds,0.0,0.0
57,Victoria,BN,2020-01-05 09:00:16,5.28,115.24,86.0,70,75,11.41,broken clouds,0.0,0.0
58,Port-Gentil,GA,2020-01-05 09:02:33,-0.72,8.78,82.4,88,40,8.05,scattered clouds,0.0,0.0
59,Luderitz,NA,2020-01-05 09:02:33,-26.65,15.16,61.59,88,0,11.5,clear sky,0.0,0.0
60,Butaritari,KI,2020-01-05 09:02:33,3.07,172.79,84.99,78,100,12.75,light rain,0.56,0.0
61,Gizo,IL,2020-01-05 09:02:33,31.8,34.94,57.99,71,75,18.34,broken clouds,0.0,0.0
62,Bambous Virieux,MU,2020-01-05 09:02:34,-20.34,57.76,81.0,83,75,4.7,broken clouds,0.0,0.0
63,Jamestown,AU,2020-01-05 09:02:34,-33.21,138.6,55.15,83,100,11.7,light rain,0.81,0.0
64,Oltu,TR,2020-01-05 09:02:34,40.55,42.0,27.01,60,0,3.36,clear sky,0.0,0.0
65,Bubaque,GW,2020-01-05 09:02:34,11.28,-15.83,73.78,43,0,18.95,clear sky,0.0,0.0
66,Mecca,SA,2020-01-05 08:59:02,21.43,39.83,67.51,43,17,12.39,few clouds,0.0,0.0
67,Tomatlan,MX,2020-01-05 09:02:35,19.93,-105.25,56.82,37,24,4.61,few clouds,0.0,0.0
68,Ancud,CL,2020-01-05 09:02:35,-41.87,-73.83,51.8,76,100,5.82,light rain,0.44,0.0
69,Saint-Philippe,CA,2020-01-05 09:02:35,45.36,-73.48,30.2,74,90,8.05,overcast clouds,0.0,0.0
70,Hithadhoo,MV,2020-01-05 09:02:35,-0.6,73.08,84.61,68,64,8.01,broken clouds,0.0,0.0
71,Naryan-Mar,RU,2020-01-05 09:02:36,67.67,53.09,16.99,85,65,18.14,broken clouds,0.0,0.0
72,Limbang,BN,2020-01-05 09:02:36,4.75,115.01,86.0,70,75,6.93,broken clouds,0.0,0.0
73,Kloulklubed,PW,2020-01-05 09:02:36,7.04,134.26,81.16,84,100,18.54,light rain,2.88,0.0
74,Coatetelco,MX,2020-01-05 09:02:36,18.72,-99.33,66.0,48,0,3.0,clear sky,0.0,0.0
75,Port Alfred,ZA,2020-01-05 09:02:37,-33.59,26.89,75.0,87,100,5.99,overcast clouds,0.0,0.0
76,Taree,AU,2020-01-05 09:02:37,-31.91,152.46,75.99,69,90,14.99,overcast clouds,0.0,0.0
77,Yinchuan,CN,2020-01-05 09:02:37,38.48,106.21,27.0,53,100,3.13,light snow,0.0,0.31
78,Wolcott,US,2020-01-05 09:01:28,41.6,-72.99,39.2,64,90,14.99,overcast clouds,0.0,0.0
79,Belaya Gora,RU,2020-01-05 09:02:37,68.54,146.19,-18.96,94,0,3.53,clear sky,0.0,0.0
80,Byron Bay,AU,2020-01-05 09:02:16,-28.65,153.62,86.0,73,0,12.75,clear sky,0.0,0.0
81,Kahului,US,2020-01-05 08:57:42,20.89,-156.47,75.2,73,1,13.87,clear sky,0.0,0.0
82,Margate,AU,2020-01-05 09:02:38,-43.03,147.26,64.4,45,20,9.17,few clouds,0.0,0.0
83,Yashkul,RU,2020-01-05 09:02:38,46.17,45.34,39.69,77,91,9.98,overcast clouds,0.0,0.0
84,Tarija,BO,2020-01-05 09:02:38,-21.53,-64.73,53.35,96,97,1.92,overcast clouds,0.0,0.0
