City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Busselton,AU,87.01,clear sky,-33.64,115.35,Observatory Guest House
1,Rikitea,PF,75.65,broken clouds,-23.12,-134.97,Pension Maro'i
9,Cockburn Town,TC,76.89,scattered clouds,21.46,-71.14,Osprey Beach Hotel
11,East London,ZA,73.4,overcast clouds,-33.02,27.91,Tu Casa
13,Arraial Do Cabo,BR,73.4,broken clouds,-22.97,-42.02,Pousada Porto Praia
21,Hilo,US,73.4,light rain,19.71,-155.08,Hilo Seaside Hotel
23,Sao Filipe,CV,70.86,scattered clouds,14.9,-24.5,Tortuga B&B
24,Bluff,AU,83.59,broken clouds,-23.58,149.07,Bluff Hotel
27,Quatre Cocos,MU,81.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
28,Puerto Ayora,EC,75.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
30,Sal Rei,CV,68.0,dust,16.18,-22.92,Marine Club Beach Resort
34,Kruisfontein,ZA,74.75,few clouds,-34.0,24.73,Oyster Bay House Rental
36,Kapaa,US,75.2,overcast clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
45,Catumbela,AO,82.4,broken clouds,-12.43,13.55,Hotel Do Kamgamba
48,Grand Gaube,MU,81.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
49,Santa Cruz,BR,72.34,broken clouds,-6.22,-36.02,Pousada Trairi
50,Cape Town,ZA,73.99,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
51,Katherine,AU,80.6,scattered clouds,-14.47,132.26,Pine Tree Motel
52,Zaragoza,SV,78.8,clear sky,13.59,-89.29,Auto Hotel River Zaragoza
54,Ponta Do Sol,BR,65.75,scattered clouds,-20.63,-46.0,Hotel Escarpas do Lago
55,Mahebourg,MU,81.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
56,Norsup,VU,81.34,few clouds,-16.07,167.38,Nabelchel Bungalows
57,Victoria,BN,86.0,broken clouds,5.28,115.24,Tiara Labuan Hotel
58,Port-Gentil,GA,82.4,scattered clouds,-0.72,8.78,Fengshui Residence
62,Bambous Virieux,MU,81.0,broken clouds,-20.34,57.76,Casa Tia Villa
65,Bubaque,GW,73.78,clear sky,11.28,-15.83,Casa Dora
66,Mecca,SA,67.51,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
70,Hithadhoo,MV,84.61,broken clouds,-0.6,73.08,Scoop Guest House
72,Limbang,BN,86.0,broken clouds,4.75,115.01,Purnama Hotel
74,Coatetelco,MX,66.0,clear sky,18.72,-99.33,Hotel Camelia
75,Port Alfred,ZA,75.0,overcast clouds,-33.59,26.89,The Halyards Hotel
76,Taree,AU,75.99,overcast clouds,-31.91,152.46,All Seasons Country Lodge Taree
80,Byron Bay,AU,86.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
81,Kahului,US,75.2,clear sky,20.89,-156.47,Maui Seaside Hotel
88,Inongo,CD,87.75,overcast clouds,-1.93,18.29,Hotel Du Lac
91,Opuwo,,73.63,overcast clouds,-18.06,13.84,ABBA Guesthouse
94,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
98,Paracuru,BR,86.0,scattered clouds,-3.41,-39.03,Hotel VentoBrasil
102,Nyaunglebin,MM,89.91,scattered clouds,17.95,96.73,Royal Motel
103,Kalangala,UG,78.8,few clouds,-0.32,32.29,Islands Club
106,Carnarvon,ZA,85.24,broken clouds,-30.97,22.13,Maritza Bed & Breakfast
107,Malumfashi,NG,65.75,overcast clouds,11.79,7.62,INFINITY CYBER CAFE MALUMFASHI
110,Tabou,CI,77.31,scattered clouds,4.42,-7.36,Hotel Les Rochers
113,Hermanus,ZA,75.99,overcast clouds,-34.42,19.24,Misty Waves Boutique Hotel
114,Tecoanapa,MX,75.2,clear sky,16.99,-99.26,Hotel JAMAICA
116,Vaini,IN,84.2,scattered clouds,15.34,74.49,Dandeli Lake County
120,Bredasdorp,ZA,80.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
124,San Patricio,PY,67.5,clear sky,-26.98,-56.83,"Granja ""La Blanca"""
128,Liwale,TZ,85.17,overcast clouds,-9.8,37.92,Samoma Lodge
129,Ca Mau,VN,86.23,broken clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
